时间量(s),阀门开度(%),海拔(m),坡度(‰),速度v（km/h）,隧道长度(m),每1s,每3s
0.0147,100,500,0,400,5000,0.13338,0.87512
0.01935,100,500,0,400,5000,0.13338,0.87512
0.02548,100,500,0,400,5000,0.13565,0.87512
0.03354,100,500,0,400,5000,0.13565,0.92609
0.04416,100,500,0,400,5000,0.13811,0.93974
0.05814,100,500,0,400,5000,0.14185,0.96552
0.0623,100,500,0,400,5000,0.14317,0.99074
0.06777,100,500,0,400,5000,0.14428,0.99074
0.07489,100,500,0,400,5000,0.14417,1.0216
0.07973,100,500,0,400,5000,0.14619,1.03187
0.09073,100,500,0,400,5000,0.14584,1.04525
0.10491,100,500,0,400,5000,0.1502,1.0794
0.10963,100,500,0,389,5000,0.15146,1.0794
0.11584,100,550,8,390,5000,0.15256,1.10656
0.12198,100,551,8,391,5000,0.1524,1.12093
0.1321,100,552,8,392,5000,0.15423,1.13147
0.14543,100,553,8,393,5000,0.15822,1.15518
0.14873,100,554,8,394,5000,0.15806,1.15518
0.15308,100,555,8,395,5000,0.15914,1.17585
0.1588,100,556,8,396,5000,0.16025,1.17585
0.16559,100,557,8,400,5000,0.16086,1.20232
0.17021,100,558,8,400,5000,0.1606,1.21023
0.18135,100,559,8,400,5000,0.16228,1.23285
0.19533,100,560,8,400,5000,0.16545,1.24124
0.20019,100,561,8,400,5000,0.16652,1.26058
0.20658,100,562,8,400,5000,0.16729,1.26058
0.21248,100,563,8,403,5000,0.16691,1.28459
0.22276,100,564,8,400,5000,0.16854,1.3024
0.2363,100,565,8,400,5000,0.17241,1.31978
0.23988,100,566,8,400,5000,0.17211,1.31978
0.24459,100,567,8,400,5000,0.17315,1.33784
0.25079,100,568,8,400,5000,0.17385,1.33784
0.25694,100,569,8,400,5000,0.17338,1.35918
0.26706,100,570,8,400,5000,0.1748,1.37622
0.28038,100,571,8,405,5000,0.17742,1.38502
0.28366,100,572,8,406,5000,0.17826,1.40004
0.28799,100,573,8,407,5000,0.17787,1.40004
0.29368,100,574,8,408,5000,0.18002,1.40004
0.30051,100,575,8,409,5000,0.17943,1.42408
0.30515,100,576,8,410,5000,0.18124,1.43026
0.31628,100,577,8,405,5000,0.18007,1.44748
0.33028,100,578,8,406,5000,0.18397,1.4537
0.33512,100,579,8,407,5000,0.18498,1.4686
0.34149,100,580,8,408,5000,0.1853,1.4686
0.34742,100,581,8,400,5000,0.18467,1.48676
0.35768,100,582,8,400,5000,0.18619,1.50055
0.3712,100,583,8,400,5000,0.18883,1.5082
0.37474,100,584,8,400,5000,0.18839,1.52057
0.37941,100,585,8,400,5000,0.18927,1.52057
0.38556,100,586,8,400,5000,0.18992,1.5364
0.39178,100,587,8,405,5000,0.18921,1.54465
0.40185,100,588,8,406,5000,0.19031,1.5507
0.4151,100,589,8,397,5000,0.19336,1.56457
0.4183,100,590,8,408,5000,0.19294,1.56457
0.42251,100,591,8,400,5000,0.19366,1.57652
0.42805,100,592,8,400,5000,0.19437,1.57652
0.43508,100,593,8,400,5000,0.19446,1.59173
0.43986,100,594,8,400,5000,0.19382,1.59617
0.4509,100,595,8,400,5000,0.19479,1.60948
0.46501,100,596,8,399,5000,0.19701,1.61459
0.46977,100,597,8,400,5000,0.19774,1.62579
0.47603,100,598,8,401,5000,0.19815,1.62579
0.4821,100,599,8,402,5000,0.19733,1.64001
0.49227,100,600,8,403,5000,0.19818,1.65017
0.50566,100,601,8,400,5000,0.20146,1.66064
0.50904,100,602,8,400,5000,0.20097,1.66064
0.51348,100,603,8,400,5000,0.20173,1.67107
0.51934,100,604,8,400,5000,0.2022,1.67107
0.52595,100,605,8,400,5000,0.20124,1.68366
0.53045,100,606,8,400,5000,0.20285,1.68786
0.54168,100,607,8,395,5000,0.20421,1.69339
0.55554,100,608,8,385,5000,0.20526,1.7073
0.56047,100,609,8,386,5000,0.2045,1.7073
0.56695,100,610,8,387,5000,0.20488,1.71831
0.57273,100,611,8,388,5000,0.20621,1.72435
0.58309,100,612,8,400,5000,0.20467,1.72881
0.59675,100,613,8,400,5000,0.20714,1.73832
0.60047,100,614,8,400,5000,0.20777,1.74686
0.60537,100,615,8,400,5000,0.20856,1.74686
0.61182,100,616,8,400,5000,0.2086,1.74686
0.61764,100,617,8,400,5000,0.20768,1.75762
0.62798,100,618,8,400,5000,0.20868,1.76533
0.64159,100,619,8,400,5000,0.21056,1.77318
0.64526,100,620,8,400,5000,0.20989,1.77318
0.6501,100,621,8,404,5000,0.21043,1.78112
0.65647,100,622,8,400,5000,0.21075,1.78112
0.6624,100,623,8,400,5000,0.21199,1.79054
0.67266,100,624,8,400,5000,0.21028,1.79795
0.68618,100,625,8,400,5000,0.21285,1.80193
0.68972,100,626,8,400,5000,0.21354,1.80854
0.69439,100,627,8,400,5000,0.21274,1.80854
0.70053,100,628,8,400,5000,0.21415,1.81702
0.70676,100,629,8,400,5000,0.21308,1.81903
0.71682,100,630,8,400,5000,0.21406,1.82506
0.73007,100,631,8,400,5000,0.21477,1.83215
0.73326,100,632,8,400,5000,0.21528,1.83215
0.73746,100,633,8,401,5000,0.21596,1.83852
0.743,100,634,8,400,5000,0.21629,1.83852
0.75004,100,635,8,400,5000,0.21499,1.84657
0.75482,100,636,8,400,5000,0.21647,1.84915
0.76586,100,637,8,400,5000,0.21435,1.85251
0.77998,100,638,8,400,5000,0.21689,1.85841
0.78473,100,639,8,404,5000,0.21747,1.86445
0.79098,100,640,8,400,5000,0.21771,1.86445
0.79707,100,641,8,400,5000,0.21658,1.87154
0.80723,100,642,8,401,5000,0.21764,1.87719
0.82061,100,643,8,400,5000,0.21634,1.88012
0.82397,100,644,8,400,5000,0.21567,1.88516
0.8284,100,645,8,400,5000,0.21567,1.88516
0.83422,100,646,8,399,5000,0.21563,1.88516
0.84087,100,647,8,400,5000,0.21518,1.89316
0.84539,100,648,8,400,5000,0.21434,1.89518
0.85661,100,649,8,385,5000,0.21435,1.90097
0.87049,100,650,8,400,5000,0.21583,1.90312
0.87539,100,651,8,400,5000,0.21644,1.90803
0.88186,100,652,8,375,5000,0.21656,1.90803
