时间量(s),阀门开度(%),海拔(m),坡度(‰),速度v（km/h）,隧道长度(m),每1s,每3s,预测最优开度,预测方式
0.0147,100,500,0,400,5000,133.38,875.12,38.1298027,神经网络预测
0.01935,100,500,0,400,5000,133.38,875.12,38.1298027,神经网络预测
0.02548,100,500,0,400,5000,135.65,875.12,38.12157822,神经网络预测
0.03354,100,500,0,400,5000,135.65,926.09,37.35825729,神经网络预测
0.04416,100,500,0,400,5000,138.11,939.74,37.2212944,神经网络预测
0.05814,100,500,0,400,5000,141.85,965.52,37.04653168,神经网络预测
0.0623,100,500,0,400,5000,143.17,990.74,37.00064087,神经网络预测
0.06777,100,500,0,400,5000,144.28,990.74,37.02300262,神经网络预测
0.07489,100,500,0,400,5000,144.17,1021.6,37.09687805,神经网络预测
0.07973,100,500,0,400,5000,146.19,1031.87,37.18919373,神经网络预测
0.09073,100,500,0,400,5000,145.84,1045.25,37.24007797,神经网络预测
0.10491,100,500,0,400,5000,150.2,1079.4,37.48903656,神经网络预测
0.10963,100,500,0,400,5000,151.46,1079.4,37.51966858,神经网络预测
0.11584,100,500,0,400,5000,152.56,1106.56,37.65854263,神经网络预测
0.12198,100,500,0,400,5000,152.4,1120.93,37.71554947,神经网络预测
0.1321,100,500,0,400,5000,154.23,1131.47,37.80957031,神经网络预测
0.14543,100,500,0,400,5000,158.22,1155.18,38.04785919,神经网络预测
0.14873,100,500,0,400,5000,158.06,1155.18,38.04315567,神经网络预测
0.15308,100,500,0,400,5000,159.14,1175.85,38.2182045,神经网络预测
0.1588,100,500,0,400,5000,160.25,1175.85,38.25353241,神经网络预测
0.16559,100,500,0,400,5000,160.86,1202.32,38.46849442,神经网络预测
0.17021,100,500,0,400,5000,160.6,1210.23,38.51725388,神经网络预测
0.18135,100,500,0,400,5000,162.28,1232.85,38.73620605,神经网络预测
0.19533,100,500,0,400,5000,165.45,1241.24,38.91137695,神经网络预测
0.20019,100,500,0,400,5000,166.52,1260.58,39.08758545,神经网络预测
0.20658,100,500,0,400,5000,167.29,1260.58,39.11830521,神经网络预测
0.21248,100,500,0,400,5000,166.91,1284.59,39.23968506,神经网络预测
0.22276,100,500,0,400,5000,168.54,1302.4,39.34015274,神经网络预测
0.2363,100,500,0,400,5000,172.41,1319.78,39.3736496,神经网络预测
0.23988,100,500,0,400,5000,172.11,1319.78,39.36640549,神经网络预测
0.24459,100,500,0,400,5000,173.15,1337.84,39.23137665,神经网络预测
0.25079,100,500,0,400,5000,173.85,1337.84,39.24710846,神经网络预测
0.25694,100,500,0,400,5000,173.38,1359.18,39.07625961,神经网络预测
0.26706,100,500,0,400,5000,174.8,1376.22,39.05718231,神经网络预测
0.28038,100,500,0,400,5000,177.42,1385.02,39.13872528,神经网络预测
0.28366,100,500,0,400,5000,178.26,1400.04,39.17850113,神经网络预测
0.28799,100,500,0,400,5000,177.87,1400.04,39.16369247,神经网络预测
0.29368,100,500,0,400,5000,180.02,1400.04,39.24544144,神经网络预测
0.30051,100,500,0,400,5000,179.43,1424.08,39.27536774,神经网络预测
0.30515,100,500,0,400,5000,181.24,1430.26,39.36377335,神经网络预测
0.31628,100,500,0,400,5000,180.07,1447.48,39.36166,神经网络预测
0.33028,100,500,0,400,5000,183.97,1453.7,39.52666092,神经网络预测
0.33512,100,500,0,400,5000,184.98,1468.6,39.58331299,神经网络预测
0.34149,100,500,0,400,5000,185.3,1468.6,39.59495544,神经网络预测
0.34742,100,500,0,400,5000,184.67,1486.76,39.57019424,神经网络预测
0.35768,100,500,0,400,5000,186.19,1500.55,39.60025024,神经网络预测
0.3712,100,500,0,400,5000,188.83,1508.2,39.66636276,神经网络预测
0.37474,100,500,0,400,5000,188.39,1520.57,39.6190834,神经网络预测
0.37941,100,500,0,400,5000,189.27,1520.57,39.64626694,神经网络预测
0.38556,100,500,0,400,5000,189.92,1536.4,39.61768723,神经网络预测
0.39178,100,500,0,400,5000,189.21,1544.65,39.56863403,神经网络预测
0.40185,100,500,0,400,5000,190.31,1550.7,39.5826416,神经网络预测
0.4151,100,500,0,400,5000,193.36,1564.57,39.63260651,神经网络预测
0.4183,100,500,0,400,5000,192.94,1564.57,39.61912537,神经网络预测
0.42251,100,500,0,400,5000,193.66,1576.52,39.60243225,神经网络预测
0.42805,100,500,0,400,5000,194.37,1576.52,39.62577438,神经网络预测
0.43508,100,500,0,400,5000,194.46,1591.73,39.57887268,神经网络预测
0.43986,100,500,0,400,5000,193.82,1596.17,39.54256821,神经网络预测
0.4509,100,500,0,400,5000,194.79,1609.48,39.53360367,神经网络预测
0.46501,100,500,0,400,5000,197.01,1614.59,39.59754562,神经网络预测
0.46977,100,500,0,400,5000,197.74,1625.79,39.59303665,神经网络预测
0.47603,100,500,0,400,5000,198.15,1625.79,39.60832596,神经网络预测
0.4821,100,500,0,400,5000,197.33,1640.01,39.54034805,神经网络预测
0.49227,100,500,0,400,5000,198.18,1650.17,39.54898834,神经网络预测
0.50566,100,500,0,400,5000,201.46,1660.64,39.66020584,神经网络预测
0.50904,100,500,0,400,5000,200.97,1660.64,39.64000702,神经网络预测
0.51348,100,500,0,400,5000,201.73,1671.07,39.65403748,神经网络预测
0.51934,100,500,0,400,5000,202.2,1671.07,39.67396927,神经网络预测
0.52595,100,500,0,400,5000,201.24,1683.66,39.61465836,神经网络预测
0.53045,100,500,0,400,5000,202.85,1687.86,39.68019867,神经网络预测
0.54168,100,500,0,400,5000,204.21,1693.39,39.73563385,神经网络预测
0.55554,100,500,0,400,5000,205.26,1707.3,39.77501297,神经网络预测
0.56047,100,500,0,400,5000,204.5,1707.3,39.73955154,神经网络预测
0.56695,100,500,0,400,5000,204.88,1718.31,39.75350952,神经网络预测
0.57273,100,500,0,400,5000,206.21,1724.35,39.81701279,神经网络预测
0.58309,100,500,0,400,5000,204.67,1728.81,39.74227905,神经网络预测
0.59675,100,500,0,400,5000,207.14,1738.32,39.86616516,神经网络预测
0.60047,100,500,0,400,5000,207.77,1746.86,39.9025383,神经网络预测
0.60537,100,500,0,400,5000,208.56,1746.86,39.94252014,神经网络预测
0.61182,100,500,0,400,5000,208.6,1746.86,39.94454575,神经网络预测
0.61764,100,500,0,400,5000,207.68,1757.62,39.9064064,神经网络预测
0.62798,100,500,0,400,5000,208.68,1765.33,39.96625137,神经网络预测
0.64159,100,500,0,400,5000,210.56,1773.18,40.07672882,神经网络预测
0.64526,100,500,0,400,5000,209.89,1773.18,40.04081726,神经网络预测
0.6501,100,500,0,400,5000,210.43,1781.12,40.08382797,神经网络预测
0.65647,100,500,0,400,5000,210.75,1781.12,40.1014328,神经网络预测
0.6624,100,500,0,400,5000,211.99,1790.54,40.19343185,神经网络预测
0.67266,100,500,0,400,5000,210.28,1797.95,40.11405945,神经网络预测
0.68618,100,500,0,400,5000,212.85,1801.93,40.28079987,神经网络预测
0.68972,100,500,0,400,5000,213.54,1808.54,40.3503952,神经网络预测
0.69439,100,500,0,400,5000,212.74,1808.54,40.29907227,神经网络预测
0.70053,100,500,0,400,5000,214.15,1817.02,40.43000412,神经网络预测
0.70676,100,500,0,400,5000,213.08,1819.03,40.36752701,神经网络预测
0.71682,100,500,0,400,5000,214.06,1825.06,40.46601105,神经网络预测
0.73007,100,500,0,400,5000,214.77,1832.15,40.55848694,神经网络预测
0.73326,100,500,0,400,5000,215.28,1832.15,40.59608459,神经网络预测
0.73746,100,500,0,400,5000,215.96,1838.52,40.68982697,神经网络预测
0.743,100,500,0,400,5000,216.29,1838.52,40.71527481,神经网络预测
0.75004,100,500,0,400,5000,214.99,1846.57,40.67168427,神经网络预测
0.75482,100,500,0,400,5000,216.47,1849.15,40.80875397,神经网络预测
0.76586,100,500,0,400,5000,214.35,1852.51,40.66465759,神经网络预测
0.77998,100,500,0,400,5000,216.89,1858.41,40.91955948,神经网络预测
0.78473,100,500,0,400,5000,217.47,1864.45,41.02326202,神经网络预测
0.79098,100,500,0,400,5000,217.71,1864.45,41.04433441,神经网络预测
0.79707,100,500,0,400,5000,216.58,1871.54,41.01083374,神经网络预测
0.80723,100,500,0,400,5000,217.64,1877.19,41.16231155,神经网络预测
0.82061,100,500,0,400,5000,216.34,1880.12,41.07221222,神经网络预测
0.82397,100,500,0,400,5000,215.67,1885.16,41.06109238,神经网络预测
0.8284,100,500,0,400,5000,215.67,1885.16,41.06109238,神经网络预测
0.83422,100,500,0,400,5000,215.63,1885.16,41.05740356,神经网络预测
0.84087,100,500,0,400,5000,215.18,1893.16,41.09751511,神经网络预测
0.84539,100,500,0,400,5000,214.34,1895.18,41.03948975,神经网络预测
0.85661,100,500,0,400,5000,214.35,1900.97,41.10137177,神经网络预测
0.87049,100,500,0,400,5000,215.83,1903.12,41.27003098,神经网络预测
0.87539,100,500,0,400,5000,216.44,1908.03,41.3899498,神经网络预测
0.88186,100,500,0,400,5000,216.56,1908.03,41.40231705,神经网络预测
0.88766,100,500,0,400,5000,217.91,1914.07,41.62239838,神经网络预测
0.89801,100,500,0,400,5000,215.85,1918.56,41.45965958,神经网络预测
0.91164,100,500,0,400,5000,218.25,1922.98,41.78289032,神经网络预测
0.91533,100,500,0,400,5000,218.97,1922.98,41.86502075,神经网络预测
0.92019,100,500,0,400,5000,217.97,1927.56,41.8167305,神经网络预测
0.92659,100,500,0,400,5000,219.27,1927.56,41.96768951,神经网络预测
0.93248,100,500,0,400,5000,218.11,1933.05,41.91398621,神经网络预测
0.94278,100,500,0,400,5000,218.84,1937.38,42.06745911,神经网络预测
0.95633,100,500,0,400,5000,220.61,1939.64,42.32172775,神经网络预测
0.95993,100,500,0,400,5000,219.88,1943.45,42.29349518,神经网络预测
0.96466,100,500,0,400,5000,220.48,1943.45,42.36904144,神经网络预测
0.97089,100,500,0,400,5000,220.62,1948.38,42.47083282,神经网络预测
0.977,100,500,0,400,5000,219.43,1949.59,42.33940506,神经网络预测
0.98714,100,500,0,400,5000,219.94,1953.23,42.46695328,神经网络预测
1.0005,100,500,0,400,5000,222.37,1957.18,42.85761642,神经网络预测
1.00383,100,500,0,400,5000,221.67,1957.18,42.76409149,神经网络预测
1.00821,100,500,0,400,5000,222.27,1961.03,42.91521454,神经网络预测
1.01398,100,500,0,400,5000,222.57,1961.03,42.95578384,神经网络预测
1.0207,100,500,0,400,5000,221.22,1965.68,42.85948563,神经网络预测
1.02528,100,500,0,400,5000,222.74,1967.22,43.09534073,神经网络预测
1.03646,100,500,0,400,5000,223.6,1969.22,43.25204468,神经网络预测
1.05038,100,500,0,400,5000,223.69,1974.39,43.36463165,神经网络预测
1.05526,100,500,0,400,5000,224.4,1974.39,43.46378326,神经网络预测
1.06168,100,500,0,400,5000,224.14,1978.41,43.50626373,神经网络预测
1.06754,100,500,0,400,5000,222.93,1980.53,43.37810135,神经网络预测
1.07785,100,500,0,400,5000,223.5,1982.11,43.48910522,神经网络预测
1.09144,100,500,0,400,5000,224.98,1985.66,43.76850891,神经网络预测
1.09507,100,500,0,400,5000,224.2,1988.78,43.72018814,神经网络预测
